 ID │ State    │ Lvl │ Version               │ Name                                                                                                                                                                                                                                                                                           [165/197]
288 │ Active   │  80 │ 4.1.0.CR7             │ Netty/Codec/HTTP
289 │ Active   │  80 │ 4.1.0.CR7             │ Netty/Codec/HTTP2
290 │ Active   │  80 │ 4.1.0.CR7             │ Netty/Common
291 │ Active   │  80 │ 4.1.0.CR7             │ Netty/Handler
292 │ Active   │  80 │ 4.1.0.CR7             │ Netty/Resolver
293 │ Active   │  80 │ 4.1.0.CR7             │ Netty/Transport
294 │ Active   │  80 │ 0                     │ wrap_file__home_bpilka_.m2_repository_com_google_auth_google-auth-library-credentials_0.3.0_google-auth-library-credentials-0.3.0.jar
295 │ Active   │  80 │ 0                     │ wrap_file__home_bpilka_.m2_repository_com_google_auth_google-auth-library-oauth2-http_0.3.0_google-auth-library-oauth2-http-0.3.0.jar
296 │ Active   │  80 │ 0                     │ wrap_file__home_bpilka_.m2_repository_com_google_code_findbugs_jsr305_3.0.0_jsr305-3.0.0.jar
297 │ Active   │  80 │ 0                     │ wrap_file__home_bpilka_.m2_repository_com_google_http-client_google-http-client-jackson2_1.19.0_google-http-client-jackson2-1.19.0.jar
298 │ Active   │  80 │ 0                     │ wrap_file__home_bpilka_.m2_repository_com_google_http-client_google-http-client_1.19.0_google-http-client-1.19.0.jar
299 │ Active   │  80 │ 0                     │ wrap_file__home_bpilka_.m2_repository_com_squareup_okhttp_okhttp_2.5.0_okhttp-2.5.0.jar
300 │ Active   │  80 │ 0                     │ wrap_file__home_bpilka_.m2_repository_com_squareup_okio_okio_1.6.0_okio-1.6.0.jar
301 │ Active   │  80 │ 0                     │ wrap_file__home_bpilka_.m2_repository_commons-codec_commons-codec_1.3_commons-codec-1.3.jar
302 │ Active   │  80 │ 0                     │ wrap_file__home_bpilka_.m2_repository_commons-logging_commons-logging_1.1.1_commons-logging-1.1.1.jar
